id,name,metabolites,lower_bound,upper_bound,gene_reaction_rule,annotation,notes,objective_coefficient
13PPDH2,"1,3-propanediol dehydrogenase","OrderedDict([('13ppd_c', 1.0), ('3hppnl_c', -1.0), ('h_c', -1.0), ('nadp_c', 1.0), ('nadph_c', -1.0)])",0.0,1000.0,b3011,"OrderedDict([('bigg.reaction', '13PPDH2'), ('sbo', 'SBO:0000375')])","OrderedDict([('reflection', '13PPDH2_reverse')])",
TARTt2_3pp,D-tartrate transport via proton symport (3 H) (periplasm),"OrderedDict([('h_c', 3.0), ('h_p', -3.0), ('tartr__D_c', 1.0), ('tartr__D_p', -1.0)])",0.0,1000.0,b4123,"OrderedDict([('bigg.reaction', 'TARTt2_3pp'), ('metanetx.reaction', 'MNXR104725'), ('sbo', 'SBO:0000375')])",,
SUCTARTtpp,Succinate:D-tartrate antiporter (periplasm),"OrderedDict([('succ_c', -1.0), ('succ_p', 1.0), ('tartr__D_c', 1.0), ('tartr__D_p', -1.0)])",0.0,1000.0,b4123,"OrderedDict([('bigg.reaction', 'SUCTARTtpp'), ('biocyc', 'META:TRANS-RXN0-499'), ('metanetx.reaction', 'MNXR104642'), ('rhea', ['34763', '34764', '34765', '34766']), ('sbo', 'SBO:0000375')])","OrderedDict([('reflection', 'SUCTARTtpp_reverse')])",
APCS,Aminopropylcadaverine synthase,"OrderedDict([('15dap_c', -1.0), ('5mta_c', 1.0), ('ametam_c', -1.0), ('h_c', 1.0), ('na15dap_c', 1.0)])",0.0,1000.0,b0121,"OrderedDict([('bigg.reaction', 'APCS'), ('biocyc', 'META:RXN0-5217'), ('ec-code', ['2.5.1.-', '2.5.1.16']), ('kegg.reaction', 'R08359'), ('metanetx.reaction', 'MNXR95867'), ('rhea', ['33387', '33388', '33389', '33390']), ('sbo', 'SBO:0000375')])",,
CHTBSptspp,Chitobiose transport via PEP:Pyr PTS (periplasm),"OrderedDict([('chtbs6p_c', 1.0), ('chtbs_p', -1.0), ('pep_c', -1.0), ('pyr_c', 1.0)])",0.0,1000.0,b2415 and b1737 and b1738 and b1736 and b2416,"OrderedDict([('bigg.reaction', 'CHTBSptspp'), ('metanetx.reaction', 'MNXR96715'), ('sbo', 'SBO:0000375')])",,
CHTBStex_num1,Chitobiose transport via diffusion (extracellular to periplasm),"OrderedDict([('chtbs_e', -1.0), ('chtbs_p', 1.0)])",0.0,1000.0,b0241,"OrderedDict([('bigg.reaction', 'CHTBStex'), ('biocyc', 'META:TRANS-RXN0-445'), ('metanetx.reaction', 'MNXR96716'), ('rhea', ['35051', '35052', '35053', '35054']), ('sbo', 'SBO:0000375')])","OrderedDict([('reflection', 'CHTBStex_reverse')])",
TRPtipp,L-tryptophan transport out (periplasm),"OrderedDict([('trp__L_c', -1.0), ('trp__L_p', 1.0)])",0.0,1000.0,b1473,"OrderedDict([('bigg.reaction', 'TRPtipp'), ('sbo', 'SBO:0000375')])",,
TYRtipp,L-tyrosine transport out (periplasm),"OrderedDict([('tyr__L_c', -1.0), ('tyr__L_p', 1.0)])",0.0,1000.0,b1473,"OrderedDict([('bigg.reaction', 'TYRtipp'), ('sbo', 'SBO:0000375')])",,
ThDPAT,ThDP adenylyl transferase,"OrderedDict([('adp_c', -1.0), ('athtp_c', 1.0), ('h_c', -1.0), ('pi_c', 1.0), ('thmpp_c', -1.0)])",0.0,1000.0,,"OrderedDict([('bigg.reaction', 'ThDPAT'), ('biocyc', 'META:RXN0-5291'), ('ec-code', '2.7.7.-'), ('metanetx.reaction', 'MNXR105006'), ('rhea', ['35243', '35244', '35245', '35246']), ('sbo', 'SBO:0000375')])",,
GHBDHx,Gamma-hydroxybutyrate dehydrogenase (NADH),"OrderedDict([('ghb_c', 1.0), ('h_c', -1.0), ('nad_c', 1.0), ('nadh_c', -1.0), ('sucsal_c', -1.0)])",0.0,1000.0,b3882,"OrderedDict([('bigg.reaction', 'GHBDHx'), ('biocyc', 'META:4-HYDROXYBUTYRATE-DEHYDROGENASE-RXN'), ('ec-code', '1.1.1.61'), ('kegg.reaction', 'R01644'), ('metanetx.reaction', 'MNXR100140'), ('rhea', ['23948', '23949', '23950', '23951']), ('sbo', 'SBO:0000375')])","OrderedDict([('reflection', 'GHBDHx_reverse')])",
APPLDHr,Aminopropanol dehydrogenase reversible,"OrderedDict([('aact_c', -1.0), ('appl_c', 1.0), ('h_c', -1.0), ('nad_c', 1.0), ('nadh_c', -1.0)])",0.0,1000.0,b3945,"OrderedDict([('bigg.reaction', 'APPLDHr'), ('biocyc', 'META:AMINOPROPDEHYDROG-RXN'), ('ec-code', ['1.1.1.75', '2.3.1.37']), ('kegg.reaction', 'R03759'), ('metanetx.reaction', 'MNXR95894'), ('rhea', ['16517', '16518', '16519', '16520']), ('sbo', 'SBO:0000375')])","OrderedDict([('reflection', 'APPLDHr_reverse')])",
SPMDt3pp,Spermidine transport out via proton antiport (periplasm),"OrderedDict([('h_c', 1.0), ('h_p', -1.0), ('spmd_c', -1.0), ('spmd_p', 1.0)])",0.0,1000.0,b1600 and b1599,"OrderedDict([('bigg.reaction', 'SPMDt3pp'), ('biocyc', 'META:TRANS-RXN0-266'), ('metanetx.reaction', 'MNXR104497'), ('rhea', ['28735', '28736', '28737', '28738']), ('sbo', 'SBO:0000375')])",,
PHEtipp,L-phenylalanine transport out (periplasm),"OrderedDict([('phe__L_c', -1.0), ('phe__L_p', 1.0)])",0.0,1000.0,b1473,"OrderedDict([('bigg.reaction', 'PHEtipp'), ('sbo', 'SBO:0000375')])",,
G2PP,Glycerol-2-phosphate phosphatase,"OrderedDict([('glyc2p_c', -1.0), ('glyc_c', 1.0), ('h2o_c', -1.0), ('pi_c', 1.0)])",0.0,1000.0,b2533,"OrderedDict([('bigg.reaction', 'G2PP'), ('biocyc', 'META:GLYCEROL-2-PHOSPHATASE-RXN'), ('ec-code', '3.1.3.19'), ('kegg.reaction', 'R01043'), ('metanetx.reaction', 'MNXR99852'), ('rhea', ['13105', '13106', '13107', '13108']), ('sbo', 'SBO:0000375')])",,
MALt3pp,L-malate transport out via proton antiport (periplasm),"OrderedDict([('h_c', 1.0), ('h_p', -1.0), ('mal__L_c', -1.0), ('mal__L_p', 1.0)])",0.0,1000.0,,"OrderedDict([('bigg.reaction', 'MALt3pp'), ('metanetx.reaction', 'MNXR101373'), ('sbo', 'SBO:0000375')])",,
CITt3pp,Citrate transport out via proton antiport (periplasm),"OrderedDict([('cit_c', -1.0), ('cit_p', 1.0), ('h_c', 1.0), ('h_p', -1.0)])",0.0,1000.0,,"OrderedDict([('bigg.reaction', 'CITt3pp'), ('metanetx.reaction', 'MNXR96747'), ('sbo', 'SBO:0000375')])",,
DHNPA2r,Dihydroneopterin aldolase reversible,"OrderedDict([('6hmhpt_c', 1.0), ('dhnpt_c', -1.0), ('gcald_c', 1.0)])",0.0,1000.0,b3058,"OrderedDict([('bigg.reaction', 'DHNPA2r'), ('biocyc', ['META:H2NEOPTERINALDOL-RXN', 'META:RXN-10857']), ('ec-code', '4.1.2.25'), ('kegg.reaction', 'R03504'), ('metanetx.reaction', 'MNXR97415'), ('sbo', 'SBO:0000375')])","OrderedDict([('reflection', 'DHNPA2r_reverse')])",
QUIN2tpp,Quinate transport (periplasm),"OrderedDict([('quin_c', 1.0), ('quin_p', -1.0)])",0.0,1000.0,,"OrderedDict([('bigg.reaction', 'QUIN2tpp'), ('metanetx.reaction', 'MNXR103397'), ('rhea', ['35195', '35196', '35197', '35198']), ('sbo', 'SBO:0000375')])","OrderedDict([('reflection', 'QUIN2tpp_reverse')])",
GLYC2Pabcpp,Sn-Glycerol 2-phosphate transport via ABC system (periplasm),"OrderedDict([('adp_c', 1.0), ('atp_c', -1.0), ('glyc2p_c', 1.0), ('glyc2p_p', -1.0), ('h2o_c', -1.0), ('h_c', 1.0), ('pi_c', 1.0)])",0.0,1000.0,b3451 and b3450 and b3453 and b3452,"OrderedDict([('bigg.reaction', 'GLYC2Pabcpp'), ('metanetx.reaction', 'MNXR100318'), ('rhea', ['34759#1', '34760#1', '34761#1', '34762#1']), ('sbo', 'SBO:0000375')])",,
CRNDtex_num1,D-carnitine transport via diffusion (extracellular to periplasm),"OrderedDict([('crn__D_e', -1.0), ('crn__D_p', 1.0)])",0.0,1000.0,b0241,"OrderedDict([('bigg.reaction', 'CRNDtex'), ('metanetx.reaction', 'MNXR96904'), ('rhea', ['35067', '35068', '35069', '35070']), ('sbo', 'SBO:0000375')])","OrderedDict([('reflection', 'CRNDtex_reverse')])",
SHGO,S-2-hydroxyglutarate oxidase,"OrderedDict([('S2hglut_c', -1.0), ('akg_c', 1.0), ('h2o2_c', 1.0), ('o2_c', -1.0)])",0.0,1000.0,b2660,"OrderedDict([('bigg.reaction', 'SHGO'), ('sbo', 'SBO:0000375')])",,
NADHXD,NADHX dehydratase,"OrderedDict([('adp_c', -1.0), ('amp_c', 1.0), ('h_c', 1.0), ('nadh_c', 1.0), ('nadhx__S_c', -1.0), ('pi_c', 1.0)])",0.0,1000.0,b4167,"OrderedDict([('bigg.reaction', 'NADHXD'), ('sbo', 'SBO:0000375')])",,
NADPHHR_num1,NADPH hydratase,"OrderedDict([('h2o_c', -1.0), ('nadph_c', -1.0), ('nadphx__R_c', 1.0)])",0.0,1000.0,s0001,"OrderedDict([('bigg.reaction', 'NADPHHR'), ('sbo', 'SBO:0000375')])",,
NADPHHS_num1,NADPH hydratase,"OrderedDict([('h2o_c', -1.0), ('nadph_c', -1.0), ('nadphx__S_c', 1.0)])",0.0,1000.0,b1779,"OrderedDict([('bigg.reaction', 'NADPHHS'), ('sbo', 'SBO:0000375')])",,
NADHHS_num1,NADH hydratase,"OrderedDict([('h2o_c', -1.0), ('nadh_c', -1.0), ('nadhx__S_c', 1.0)])",0.0,1000.0,s0001,"OrderedDict([('bigg.reaction', 'NADHHS'), ('sbo', 'SBO:0000375')])",,
NADHXE,NADHX epimerase,"OrderedDict([('nadhx__R_c', 1.0), ('nadhx__S_c', -1.0)])",0.0,1000.0,b4167,"OrderedDict([('bigg.reaction', 'NADHXE'), ('sbo', 'SBO:0000375')])","OrderedDict([('reflection', 'NADHXE_reverse')])",
SELabcpp_num1,Selenatenate transport via ABC system (periplasm),"OrderedDict([('adp_c', 1.0), ('atp_c', -1.0), ('h2o_c', -1.0), ('h_c', 1.0), ('pi_c', 1.0), ('sel_c', 1.0), ('sel_p', -1.0)])",0.0,1000.0,b2425 and b2423 and b2422 and b2424,"OrderedDict([('bigg.reaction', 'SELabcpp'), ('sbo', 'SBO:0000375')])",,
PYK2,Pyruvate kinase(2),"OrderedDict([('h_c', -1.0), ('pep_c', -1.0), ('pyr_c', 1.0), ('udp_c', -1.0), ('utp_c', 1.0)])",0.0,1000.0,b1854,"OrderedDict([('bigg.reaction', 'PYK2'), ('ec-code', '2.7.1.40'), ('kegg.reaction', 'R00659'), ('metanetx.reaction', 'MNXR103372'), ('sbo', 'SBO:0000375')])",,
PYK3,Pyruvate kinase(3),"OrderedDict([('gdp_c', -1.0), ('gtp_c', 1.0), ('h_c', -1.0), ('pep_c', -1.0), ('pyr_c', 1.0)])",0.0,1000.0,b1854,"OrderedDict([('bigg.reaction', 'PYK3'), ('biocyc', 'META:RXN-14117'), ('ec-code', '2.7.1.40'), ('kegg.reaction', 'R00430'), ('metanetx.reaction', 'MNXR100460'), ('rhea', ['30295', '30296', '30297', '30298']), ('sbo', 'SBO:0000375')])",,
PYK4,Pyruvate kinase(4),"OrderedDict([('cdp_c', -1.0), ('ctp_c', 1.0), ('h_c', -1.0), ('pep_c', -1.0), ('pyr_c', 1.0)])",0.0,1000.0,b1854,"OrderedDict([('bigg.reaction', 'PYK4'), ('ec-code', '2.7.1.40'), ('kegg.reaction', 'R00572'), ('metanetx.reaction', 'MNXR103373'), ('sbo', 'SBO:0000375')])",,
NADPHXD,NADPHX dehydratase,"OrderedDict([('adp_c', -1.0), ('amp_c', 1.0), ('h_c', 1.0), ('nadph_c', 1.0), ('nadphx__S_c', -1.0), ('pi_c', 1.0)])",0.0,1000.0,b4167,"OrderedDict([('bigg.reaction', 'NADPHXD'), ('sbo', 'SBO:0000375')])",,
NADHHR_num1,NADH hydratase,"OrderedDict([('h2o_c', -1.0), ('nadh_c', -1.0), ('nadhx__R_c', 1.0)])",0.0,1000.0,s0001,"OrderedDict([('bigg.reaction', 'NADHHR'), ('sbo', 'SBO:0000375')])",,
NADPHXE,NADPHX epimerase,"OrderedDict([('nadphx__R_c', -1.0), ('nadphx__S_c', 1.0)])",0.0,1000.0,b4167,"OrderedDict([('bigg.reaction', 'NADPHXE'), ('sbo', 'SBO:0000375')])","OrderedDict([('reflection', 'NADPHXE_reverse')])",
ALAtpp,L-alanine export via facilited diffusion,"OrderedDict([('ala__L_c', -1.0), ('ala__L_p', 1.0)])",0.0,1000.0,b2670,"OrderedDict([('bigg.reaction', 'ALAtpp'), ('sbo', 'SBO:0000375')])",,
DHBSZ3FEabcpp,23dhbsz3 Fe III transport via ABC system periplasm,"OrderedDict([('adp_c', 1.0), ('atp_c', -1.0), ('fe3dhbzs3_c', 1.0), ('fe3dhbzs3_p', -1.0), ('h2o_c', -1.0), ('h_c', 1.0), ('pi_c', 1.0)])",0.0,1000.0,b0590 and b0588 and b0589 and b0592,"OrderedDict([('bigg.reaction', 'DHBSZ3FEabcpp'), ('metanetx.reaction', 'MNXR97371'), ('sbo', 'SBO:0000375')])",,
FE3DHBZS3R,"Fe(III)-(2,3-dihydroxybenzoylserine)3 reductase via NADPH","OrderedDict([('23dhbzs3_c', 2.0), ('fe2_c', 2.0), ('fe3dhbzs3_c', -2.0), ('h_c', 3.0), ('nadp_c', 1.0), ('nadph_c', -1.0)])",0.0,1000.0,b3070,"OrderedDict([('bigg.reaction', 'FE3DHBZS3R'), ('sbo', 'SBO:0000375')])",,
DXYLONtpp,D-xylonate reversible tranposrt (periplasm),"OrderedDict([('dxylnt_c', 1.0), ('dxylnt_p', -1.0)])",0.0,1000.0,,"OrderedDict([('bigg.reaction', 'DXYLONtpp'), ('sbo', 'SBO:0000375')])","OrderedDict([('reflection', 'DXYLONtpp_reverse')])",
DXYLTD_num1,D-xylonate dehydratase,"OrderedDict([('2ddara_c', 1.0), ('dxylnt_c', -1.0), ('h2o_c', 1.0)])",0.0,1000.0,b0269,"OrderedDict([('bigg.reaction', 'DXYLTD'), ('sbo', 'SBO:0000375')])",,
2DDARAA_num1,2-dehydro-3-deoxy-D-arabinonate Aldolase,"OrderedDict([('2ddara_c', -1.0), ('gcald_c', 1.0), ('pyr_c', 1.0)])",0.0,1000.0,b4298,"OrderedDict([('bigg.reaction', '2DDARAA'), ('sbo', 'SBO:0000375')])","OrderedDict([('reflection', '2DDARAA_reverse')])",
2DGLCptspp,2-Deoxy-D-glucose transport via PEP:Pyr PTS (periplasm),"OrderedDict([('2dglc_p', -1.0), ('2doxg6p_c', 1.0), ('pep_c', -1.0), ('pyr_c', 1.0)])",0.0,1000.0,b2416 and b1817 and b2415 and b1819 and b1818,"OrderedDict([('bigg.reaction', '2DGLCptspp'), ('sbo', 'SBO:0000375')])",,
GNP_num1,Phosphogluconate phosphatase,"OrderedDict([('6pgc_c', -1.0), ('glcn_c', 1.0), ('h2o_c', -1.0), ('pi_c', 1.0)])",0.0,1000.0,b3715,"OrderedDict([('bigg.reaction', 'GNP'), ('sbo', 'SBO:0000375')])",,
ALLTAMH2,Allantoate amidinohydrolase,"OrderedDict([('alltt_c', -1.0), ('co2_c', 1.0), ('h2o_c', -1.0), ('h_c', -2.0), ('nh4_c', 1.0), ('urdgci_c', 1.0)])",0.0,1000.0,b0516,"OrderedDict([('bigg.reaction', 'ALLTAMH2'), ('sbo', 'SBO:0000375')])",,
UGCIAMH,Ureidoglycine aminohydrolase,"OrderedDict([('h2o_c', -1.0), ('nh4_c', 1.0), ('urdgci_c', -1.0), ('urdglyc_c', 1.0)])",0.0,1000.0,b0515,"OrderedDict([('bigg.reaction', 'UGCIAMH'), ('sbo', 'SBO:0000375')])",,
METGLCUR,1-O-Methyl-Beta-D-glucuronidase,"OrderedDict([('glcur_c', 1.0), ('h2o_c', -1.0), ('meoh_c', 1.0), ('metglcur_c', -1.0)])",0.0,1000.0,b1617,"OrderedDict([('bigg.reaction', 'METGLCUR'), ('sbo', 'SBO:0000375')])",,
ACOAD1fr,Acyl-CoA dehydrogenase (butanoyl-CoA),"OrderedDict([('b2coa_c', -1.0), ('btcoa_c', 1.0), ('fad_c', 1.0), ('fadh2_c', -1.0)])",0.0,1000.0,b1695,"OrderedDict([('bigg.reaction', 'ACOAD1fr'), ('sbo', 'SBO:0000375')])",,
23DOGULNt4pp,"Na+/ 2,3-Dioxo-L-gulonate symport (periplasm)","OrderedDict([('23doguln_c', 1.0), ('23doguln_p', -1.0), ('na1_c', 1.0), ('na1_p', -1.0)])",0.0,1000.0,b3579 and b3577 and b3578,"OrderedDict([('bigg.reaction', '23DOGULNt4pp'), ('sbo', 'SBO:0000375')])",,
FE3DCITexs,Dicitrate Fe(III) binding (spontaneous),"OrderedDict([('cit_e', -2.0), ('fe3_e', -1.0), ('fe3dcit_e', 1.0)])",0.0,1000.0,s0001,"OrderedDict([('bigg.reaction', 'FE3DCITexs'), ('sbo', 'SBO:0000375')])",,
FEENTERES,Enterochelin Esterase (Fe containing),"OrderedDict([('fe3dhbzs3_c', 1.0), ('feenter_c', -1.0), ('h2o_c', -1.0)])",0.0,1000.0,b0585,"OrderedDict([('bigg.reaction', 'FEENTERES'), ('sbo', 'SBO:0000375')])",,
FEENTERR4,Fe-enterobactin reduction via nadph,"OrderedDict([('enter_c', 2.0), ('fe2_c', 2.0), ('feenter_c', -2.0), ('h_c', 1.0), ('nadp_c', 1.0), ('nadph_c', -1.0)])",0.0,1000.0,b3070,"OrderedDict([('bigg.reaction', 'FEENTERR4'), ('sbo', 'SBO:0000375')])",,
DXYLONtex_num1,D-xylonate transport via diffusion (extracellular),"OrderedDict([('dxylnt_e', -1.0), ('dxylnt_p', 1.0)])",0.0,1000.0,b0929,"OrderedDict([('bigg.reaction', 'DXYLONtex'), ('sbo', 'SBO:0000375')])","OrderedDict([('reflection', 'DXYLONtex_reverse')])",
PSURItex_num1,Pseudouridine transport via diffusion (extracellular to periplasm),"OrderedDict([('psuri_e', -1.0), ('psuri_p', 1.0)])",0.0,1000.0,b2215,"OrderedDict([('bigg.reaction', 'PSURItex'), ('sbo', 'SBO:0000375')])","OrderedDict([('reflection', 'PSURItex_reverse')])",
ALR2x,Aldose reductase (methylglyoxal) (nadh),"OrderedDict([('acetol_c', 1.0), ('h_c', -1.0), ('mthgxl_c', -1.0), ('nad_c', 1.0), ('nadh_c', -1.0)])",0.0,1000.0,b1771,"OrderedDict([('bigg.reaction', 'ALR2x'), ('sbo', 'SBO:0000375')])",,
OMPHHXy,2-octaprenyl-6-methoxyphenol hydroxylase (NADPH),"OrderedDict([('2ombzl_c', 1.0), ('2omph_c', -1.0), ('h2o_c', 1.0), ('h_c', -1.0), ('nadp_c', 1.0), ('nadph_c', -1.0), ('o2_c', -1.0)])",0.0,1000.0,b2907,"OrderedDict([('bigg.reaction', 'OMPHHXy'), ('sbo', 'SBO:0000375')])",,
CHLt3pp,Choline transport via proton antiport (periplasm),"OrderedDict([('chol_c', -1.0), ('chol_p', 1.0), ('h_c', 1.0), ('h_p', -1.0)])",0.0,1000.0,b0543,"OrderedDict([('bigg.reaction', 'CHLt3pp'), ('sbo', 'SBO:0000375')])",,
GLYBt3pp,Glycine betaine transport via proton antiport (periplasm),"OrderedDict([('glyb_c', -1.0), ('glyb_p', 1.0), ('h_c', 1.0), ('h_p', -1.0)])",0.0,1000.0,b0543,"OrderedDict([('bigg.reaction', 'GLYBt3pp'), ('sbo', 'SBO:0000375')])",,
AI2tpp,Quorum signal AI-2 exporter,"OrderedDict([('mththf_c', -1.0), ('mththf_p', 1.0)])",0.0,1000.0,b1601,"OrderedDict([('bigg.reaction', 'AI2tpp'), ('sbo', 'SBO:0000375')])",,
Ftpp,F- efflux transport,"OrderedDict([('f_c', -1.0), ('f_p', 1.0)])",0.0,1000.0,b0624,"OrderedDict([('bigg.reaction', 'Ftpp'), ('sbo', 'SBO:0000375')])",,
SQVOSI,Sulfoquinovose isomerase,"OrderedDict([('sf_c', 1.0), ('sq_c', -1.0)])",0.0,1000.0,b3880,"OrderedDict([('bigg.reaction', 'SQVOSI'), ('sbo', 'SBO:0000375')])",,
6D6SPA,6-deoxy-6-sulfofructose-1-phosphate aldolase,"OrderedDict([('dhap_c', 1.0), ('sfp_c', -1.0), ('sla_c', 1.0)])",0.0,1000.0,b3881,"OrderedDict([('bigg.reaction', '6D6SPA'), ('sbo', 'SBO:0000375')])",,
DHPStr,"2,3-dihydroxypropane 1-sulfonate transporter","OrderedDict([('dhps_c', -1.0), ('dhps_p', 1.0)])",0.0,1000.0,b3877,"OrderedDict([('bigg.reaction', 'DHPStr'), ('sbo', 'SBO:0000375')])",,
SQtr,Sulfoquinovose transporter,"OrderedDict([('sq_c', 1.0), ('sq_p', -1.0)])",0.0,1000.0,b3876,"OrderedDict([('bigg.reaction', 'SQtr'), ('sbo', 'SBO:0000375')])",,
DHPStex,"2,3-dihydroxypropane 1-sulfonate transport via diffusion","OrderedDict([('dhps_e', -1.0), ('dhps_p', 1.0)])",0.0,1000.0,b3875,"OrderedDict([('bigg.reaction', 'DHPStex'), ('sbo', 'SBO:0000375')])","OrderedDict([('reflection', 'DHPStex_reverse')])",
FMNtex_num1,"FMN transport, outer membrane","OrderedDict([('fmn_e', 1.0), ('fmn_p', -1.0)])",0.0,1000.0,b2215,"OrderedDict([('bigg.reaction', 'FMNtex'), ('sbo', 'SBO:0000375')])","OrderedDict([('reflection', 'FMNtex_reverse')])",
EX_dxylnt_e,D-Xylonate exchange,"OrderedDict([('dxylnt_e', -1.0)])",0.0,1000.0,,"OrderedDict([('bigg.reaction', 'dxylnt'), ('sbo', 'SBO:0000627')])",,
AI2K,Autoinducer-2 kinase,"OrderedDict([('adp_c', 1.0), ('atp_c', -1.0), ('dhptd_c', -1.0), ('dhptdp_c', 1.0), ('h_c', 1.0)])",0.0,1000.0,b1511,"OrderedDict([('bigg.reaction', 'AI2K'), ('sbo', 'SBO:0000375')])",,
CLBtex_num1,Cellobiose transport transport via diffusion extracellular to periplasm ,"OrderedDict([('cellb_e', -1.0), ('cellb_p', 1.0)])",0.0,1000.0,b0929,"OrderedDict([('bigg.reaction', 'CLBtex'), ('metanetx.reaction', 'MNXR96760'), ('sbo', 'SBO:0000375')])","OrderedDict([('reflection', 'CLBtex_reverse')])",
ACOXT,Acetyl-CoA:oxalate CoA-transferase,"OrderedDict([('ac_c', 1.0), ('accoa_c', -1.0), ('oxa_c', -1.0), ('oxalcoa_c', 1.0)])",0.0,1000.0,b2371,"OrderedDict([('bigg.reaction', 'ACOXT'), ('sbo', 'SBO:0000375')])","OrderedDict([('reflection', 'ACOXT_reverse')])",
EX_mththf_e,"(2R,4S)-2-methyl-2,3,3,4-tetrahydroxytetrahydrofuran exchange","OrderedDict([('mththf_e', -1.0)])",0.0,1000.0,,"OrderedDict([('bigg.reaction', 'mththf'), ('sbo', 'SBO:0000627')])",,
2HESR_num1,2-hydroxyethyldisulfide reductase,"OrderedDict([('dtgcl_c', -1.0), ('gthox_c', 1.0), ('gthrd_c', -2.0), ('mercpeth_c', 2.0)])",0.0,1000.0,b2989,"OrderedDict([('bigg.reaction', '2HESR'), ('sbo', 'SBO:0000375')])",,
CHOLID,7-?-hydroxysteroid dehydrogenase,"OrderedDict([('cholate_c', -1.0), ('dhcholn_c', 1.0), ('h_c', 1.0), ('nad_c', -1.0), ('nadh_c', 1.0)])",0.0,1000.0,b1619,"OrderedDict([('bigg.reaction', 'CHOLID'), ('sbo', 'SBO:0000375')])",,
CHOLATEtpp,Cholate transport via proton antiport,"OrderedDict([('cholate_c', -1.0), ('cholate_p', 1.0), ('h_c', 1.0), ('h_p', -1.0)])",0.0,1000.0,b4337,"OrderedDict([('bigg.reaction', 'CHOLATEtpp'), ('sbo', 'SBO:0000375')])",,
4ABZGLUH,P-aminobenzoyl-glutamate hydrolase,"OrderedDict([('4abz_c', 1.0), ('4abzglu_c', -1.0), ('glu__L_c', 1.0), ('h2o_c', -1.0)])",0.0,1000.0,b1337 and b1338,"OrderedDict([('bigg.reaction', '4ABZGLUH'), ('sbo', 'SBO:0000375')])","OrderedDict([('reflection', '4ABZGLUH_reverse')])",
4ABZGLUtr,P-aminobenzoyl glutamate:H+ symporter,"OrderedDict([('4abzglu_c', 1.0), ('4abzglu_p', -1.0), ('h_c', 1.0), ('h_p', -1.0)])",0.0,1000.0,b1336,"OrderedDict([('bigg.reaction', '4ABZGLUtr'), ('sbo', 'SBO:0000375')])","OrderedDict([('reflection', '4ABZGLUtr_reverse')])",
PHDA,Phenylhydantoinase,"OrderedDict([('5phdt_c', -1.0), ('5phua_c', 1.0), ('h2o_c', -1.0)])",0.0,1000.0,b2873,"OrderedDict([('bigg.reaction', 'PHDA'), ('sbo', 'SBO:0000375')])",,
TEO2M,Tellurite methyltransferase,"OrderedDict([('ahcys_c', 1.0), ('amet_c', -1.0), ('mteo2_c', 1.0), ('teo2_c', -1.0)])",0.0,1000.0,b1430,"OrderedDict([('bigg.reaction', 'TEO2M'), ('sbo', 'SBO:0000375')])",,
PACOAT,Phenylacetyl-CoA thioesterase,"OrderedDict([('coa_c', 1.0), ('h2o_c', -1.0), ('h_c', 1.0), ('pac_c', 1.0), ('phaccoa_c', -1.0)])",0.0,1000.0,b1396,"OrderedDict([('bigg.reaction', 'PACOAT'), ('sbo', 'SBO:0000375')])",,
CYSItpp,Cystine efflux transport,"OrderedDict([('cysi__L_c', -1.0), ('cysi__L_p', 1.0)])",0.0,1000.0,b3943,"OrderedDict([('bigg.reaction', 'CYSItpp'), ('sbo', 'SBO:0000375')])",,
DHPTDNR,Dihydropteridine reductase,"OrderedDict([('dhptdn_c', -1.0), ('h_c', -3.0), ('nadp_c', 1.0), ('nadph_c', -1.0), ('thptdn_c', 1.0)])",0.0,1000.0,b0578,"OrderedDict([('bigg.reaction', 'DHPTDNR'), ('ec-code', '1.5.1.34'), ('kegg.reaction', 'R07355'), ('metanetx.reaction', 'MNXR97443'), ('rhea', ['17865', '17866', '17867', '17868']), ('sbo', 'SBO:0000375')])",,
DHPTDNRN,Dihydropteridine reductase (NADH),"OrderedDict([('dhptdn_c', -1.0), ('h_c', -3.0), ('nad_c', 1.0), ('nadh_c', -1.0), ('thptdn_c', 1.0)])",0.0,1000.0,b0578,"OrderedDict([('bigg.reaction', 'DHPTDNRN'), ('ec-code', '1.5.1.34'), ('kegg.reaction', 'R07354'), ('metanetx.reaction', 'MNXR97444'), ('rhea', ['17869', '17870', '17871', '17872']), ('sbo', 'SBO:0000375')])",,
PCNO,Propanoyl-CoA:NADP+ 2-oxidoreductase,"OrderedDict([('h_c', 1.0), ('nadp_c', -1.0), ('nadph_c', 1.0), ('ppcoa_c', -1.0), ('prpncoa_c', 1.0)])",-1000.0,0.0,b3253,"OrderedDict([('bigg.reaction', 'PCNO'), ('biocyc', 'META:RXN-9087'), ('ec-code', ['1.3.1.-', '1.3.1.84']), ('kegg.reaction', 'R00919'), ('metanetx.reaction', 'MNXR102415'), ('rhea', ['26454', '26455', '26456', '26457']), ('sbo', 'SBO:0000375')])",,
HPACOAT,Hydroxyphenylacetyl-CoA thioesterase,"OrderedDict([('34dhpha_c', 1.0), ('34dphacoa_c', -1.0), ('coa_c', 1.0), ('h2o_c', -1.0), ('h_c', 1.0)])",0.0,1000.0,b1396,"OrderedDict([('bigg.reaction', 'HPACOAT'), ('sbo', 'SBO:0000375')])",,
